date,target,target_group,value,population
2022-04-23,SARI_NATIONAL,Pediatrics,225,11043730
2022-04-30,SARI_NATIONAL,Adults,267,34152047
2022-04-30,SARI_NATIONAL,Overall,547,45195777
2022-04-30,SARI_NATIONAL,Pediatrics,280,11043730
2022-05-07,SARI_NATIONAL,Adults,312,34152047
2022-05-07,SARI_NATIONAL,Overall,613,45195777
2022-05-07,SARI_NATIONAL,Pediatrics,301,11043730
2022-05-14,SARI_NATIONAL,Adults,343,34152047
2022-05-14,SARI_NATIONAL,Overall,761,45195777
2022-05-14,SARI_NATIONAL,Pediatrics,418,11043730
2022-05-21,SARI_NATIONAL,Adults,394,34152047
2022-05-21,SARI_NATIONAL,Overall,898,45195777
2022-05-21,SARI_NATIONAL,Pediatrics,504,11043730
2022-05-28,SARI_NATIONAL,Adults,419,34152047
2022-05-28,SARI_NATIONAL,Overall,846,45195777
2022-05-28,SARI_NATIONAL,Pediatrics,427,11043730
2022-06-04,SARI_NATIONAL,Adults,457,34152047
2022-06-04,SARI_NATIONAL,Overall,925,45195777
2022-06-04,SARI_NATIONAL,Pediatrics,468,11043730
2022-06-11,SARI_NATIONAL,Adults,482,34152047
2022-06-11,SARI_NATIONAL,Overall,1042,45195777
2022-06-11,SARI_NATIONAL,Pediatrics,560,11043730
2022-06-18,SARI_NATIONAL,Adults,429,34152047
2022-06-18,SARI_NATIONAL,Overall,918,45195777
2022-06-18,SARI_NATIONAL,Pediatrics,489,11043730
2022-06-25,SARI_NATIONAL,Adults,416,34152047
2022-06-25,SARI_NATIONAL,Overall,824,45195777
2022-06-25,SARI_NATIONAL,Pediatrics,408,11043730
2022-07-02,SARI_NATIONAL,Adults,483,34152047
2022-07-02,SARI_NATIONAL,Overall,871,45195777
2022-07-02,SARI_NATIONAL,Pediatrics,388,11043730
2022-07-09,SARI_NATIONAL,Adults,440,34152047
2022-07-09,SARI_NATIONAL,Overall,868,45195777
2022-07-09,SARI_NATIONAL,Pediatrics,428,11043730
2022-07-16,SARI_NATIONAL,Adults,462,34152047
2022-07-16,SARI_NATIONAL,Overall,821,45195777
2022-07-16,SARI_NATIONAL,Pediatrics,359,11043730
2022-07-23,SARI_NATIONAL,Adults,490,34152047
2022-07-23,SARI_NATIONAL,Overall,833,45195777
2022-07-23,SARI_NATIONAL,Pediatrics,343,11043730
2022-07-30,SARI_NATIONAL,Adults,422,34152047
2022-07-30,SARI_NATIONAL,Overall,701,45195777
2022-07-30,SARI_NATIONAL,Pediatrics,279,11043730
2022-08-06,SARI_NATIONAL,Adults,403,34152047
2022-08-06,SARI_NATIONAL,Overall,675,45195777
2022-08-06,SARI_NATIONAL,Pediatrics,272,11043730
2022-08-13,SARI_NATIONAL,Adults,348,34152047
2022-08-13,SARI_NATIONAL,Overall,652,45195777
2022-08-13,SARI_NATIONAL,Pediatrics,304,11043730
2022-08-20,SARI_NATIONAL,Adults,307,34152047
2022-08-20,SARI_NATIONAL,Overall,655,45195777
2022-08-20,SARI_NATIONAL,Pediatrics,348,11043730
2022-08-27,SARI_NATIONAL,Adults,286,34152047
2022-08-27,SARI_NATIONAL,Overall,595,45195777
2022-08-27,SARI_NATIONAL,Pediatrics,309,11043730
2022-09-03,SARI_NATIONAL,Adults,282,34152047
2022-09-03,SARI_NATIONAL,Overall,611,45195777
2022-09-03,SARI_NATIONAL,Pediatrics,329,11043730
2022-09-10,SARI_NATIONAL,Adults,305,34152047
2022-09-10,SARI_NATIONAL,Overall,616,45195777
2022-09-10,SARI_NATIONAL,Pediatrics,311,11043730
2022-09-17,SARI_NATIONAL,Adults,235,34152047
2022-09-17,SARI_NATIONAL,Overall,525,45195777
2022-09-17,SARI_NATIONAL,Pediatrics,290,11043730
2022-09-24,SARI_NATIONAL,Adults,242,34152047
2022-09-24,SARI_NATIONAL,Overall,502,45195777
2022-09-24,SARI_NATIONAL,Pediatrics,260,11043730
2022-10-01,SARI_NATIONAL,Adults,255,34152047
2022-10-01,SARI_NATIONAL,Overall,561,45195777
2022-10-01,SARI_NATIONAL,Pediatrics,306,11043730
2022-10-08,SARI_NATIONAL,Adults,208,34152047
2022-10-08,SARI_NATIONAL,Overall,480,45195777
2022-10-08,SARI_NATIONAL,Pediatrics,272,11043730
2022-10-15,SARI_NATIONAL,Adults,272,34152047
2022-10-15,SARI_NATIONAL,Overall,545,45195777
2022-10-15,SARI_NATIONAL,Pediatrics,273,11043730
2022-10-22,SARI_NATIONAL,Adults,267,34152047
2022-10-22,SARI_NATIONAL,Overall,591,45195777
2022-10-22,SARI_NATIONAL,Pediatrics,324,11043730
2022-10-29,SARI_NATIONAL,Adults,223,34152047
2022-10-29,SARI_NATIONAL,Overall,501,45195777
2022-10-29,SARI_NATIONAL,Pediatrics,278,11043730
2022-11-05,SARI_NATIONAL,Adults,230,34152047
2022-11-05,SARI_NATIONAL,Overall,481,45195777
2022-11-05,SARI_NATIONAL,Pediatrics,251,11043730
2022-11-12,SARI_NATIONAL,Adults,194,34152047
2022-11-12,SARI_NATIONAL,Overall,433,45195777
2022-11-12,SARI_NATIONAL,Pediatrics,239,11043730
2022-11-19,SARI_NATIONAL,Adults,161,34152047
2022-11-19,SARI_NATIONAL,Overall,329,45195777
2022-11-19,SARI_NATIONAL,Pediatrics,168,11043730
2022-11-26,SARI_NATIONAL,Adults,152,34152047
2022-11-26,SARI_NATIONAL,Overall,282,45195777
2022-11-26,SARI_NATIONAL,Pediatrics,130,11043730
2022-12-03,SARI_NATIONAL,Adults,189,34152047
2022-12-03,SARI_NATIONAL,Overall,323,45195777
2022-12-03,SARI_NATIONAL,Pediatrics,134,11043730
2022-12-10,SARI_NATIONAL,Adults,285,34152047
2022-12-10,SARI_NATIONAL,Overall,408,45195777
2022-12-10,SARI_NATIONAL,Pediatrics,123,11043730
2022-12-17,SARI_NATIONAL,Adults,309,34152047
2022-12-17,SARI_NATIONAL,Overall,457,45195777
2022-12-17,SARI_NATIONAL,Pediatrics,148,11043730
2022-12-24,SARI_NATIONAL,Adults,357,34152047
2022-12-24,SARI_NATIONAL,Overall,465,45195777
2022-12-24,SARI_NATIONAL,Pediatrics,108,11043730
2022-12-31,SARI_NATIONAL,Adults,324,34152047
2022-12-31,SARI_NATIONAL,Overall,407,45195777
2022-12-31,SARI_NATIONAL,Pediatrics,83,11043730
2023-01-07,SARI_NATIONAL,Adults,330,34152047
2023-01-07,SARI_NATIONAL,Overall,448,45195777
2023-01-07,SARI_NATIONAL,Pediatrics,118,11043730
2023-01-14,SARI_NATIONAL,Adults,237,34152047
2023-01-14,SARI_NATIONAL,Overall,359,45195777
2023-01-14,SARI_NATIONAL,Pediatrics,122,11043730
2023-01-21,SARI_NATIONAL,Adults,195,34152047
2023-01-21,SARI_NATIONAL,Overall,304,45195777
2023-01-21,SARI_NATIONAL,Pediatrics,109,11043730
2023-01-28,SARI_NATIONAL,Adults,135,34152047
2023-01-28,SARI_NATIONAL,Overall,226,45195777
2023-01-28,SARI_NATIONAL,Pediatrics,91,11043730
2023-02-04,SARI_NATIONAL,Adults,133,34152047
2023-02-04,SARI_NATIONAL,Overall,254,45195777
2023-02-04,SARI_NATIONAL,Pediatrics,121,11043730
2023-02-11,SARI_NATIONAL,Adults,100,34152047
2023-02-11,SARI_NATIONAL,Overall,222,45195777
2023-02-11,SARI_NATIONAL,Pediatrics,122,11043730
2023-02-18,SARI_NATIONAL,Adults,107,34152047
2023-02-18,SARI_NATIONAL,Overall,204,45195777
2023-02-18,SARI_NATIONAL,Pediatrics,97,11043730
2023-02-25,SARI_NATIONAL,Adults,100,34152047
2023-02-25,SARI_NATIONAL,Overall,200,45195777
2023-02-25,SARI_NATIONAL,Pediatrics,100,11043730
2023-03-04,SARI_NATIONAL,Adults,137,34152047
2023-03-04,SARI_NATIONAL,Overall,289,45195777
2023-03-04,SARI_NATIONAL,Pediatrics,152,11043730
2023-03-11,SARI_NATIONAL,Adults,104,34152047
2023-03-11,SARI_NATIONAL,Overall,300,45195777
2023-03-11,SARI_NATIONAL,Pediatrics,196,11043730
2023-03-18,SARI_NATIONAL,Adults,92,34152047
2023-03-18,SARI_NATIONAL,Overall,249,45195777
2023-03-18,SARI_NATIONAL,Pediatrics,157,11043730
2023-03-25,SARI_NATIONAL,Adults,83,34152047
2023-03-25,SARI_NATIONAL,Overall,238,45195777
2023-03-25,SARI_NATIONAL,Pediatrics,155,11043730
2023-04-01,SARI_NATIONAL,Adults,78,34152047
2023-04-01,SARI_NATIONAL,Overall,251,45195777
2023-04-01,SARI_NATIONAL,Pediatrics,173,11043730
2023-04-08,SARI_NATIONAL,Adults,90,34152047
2023-04-08,SARI_NATIONAL,Overall,275,45195777
2023-04-08,SARI_NATIONAL,Pediatrics,185,11043730
2023-04-15,SARI_NATIONAL,Adults,102,34152047
2023-04-15,SARI_NATIONAL,Overall,297,45195777
2023-04-15,SARI_NATIONAL,Pediatrics,195,11043730
2023-04-22,SARI_NATIONAL,Adults,91,34152047
2023-04-22,SARI_NATIONAL,Overall,320,45195777
2023-04-22,SARI_NATIONAL,Pediatrics,229,11043730
2023-04-29,SARI_NATIONAL,Adults,92,34152047
2023-04-29,SARI_NATIONAL,Overall,415,45195777
2023-04-29,SARI_NATIONAL,Pediatrics,323,11043730
2023-05-06,SARI_NATIONAL,Adults,102,34152047
2023-05-06,SARI_NATIONAL,Overall,484,45195777
2023-05-06,SARI_NATIONAL,Pediatrics,382,11043730
2023-05-13,SARI_NATIONAL,Adults,118,34152047
2023-05-13,SARI_NATIONAL,Overall,544,45195777
2023-05-13,SARI_NATIONAL,Pediatrics,426,11043730
2023-05-20,SARI_NATIONAL,Adults,113,34152047
2023-05-20,SARI_NATIONAL,Overall,596,45195777
2023-05-20,SARI_NATIONAL,Pediatrics,483,11043730
2023-05-27,SARI_NATIONAL,Adults,119,34152047
2023-05-27,SARI_NATIONAL,Overall,680,45195777
2023-05-27,SARI_NATIONAL,Pediatrics,561,11043730
2023-06-03,SARI_NATIONAL,Adults,182,34152047
2023-06-03,SARI_NATIONAL,Overall,706,45195777
2023-06-03,SARI_NATIONAL,Pediatrics,524,11043730
2023-06-10,SARI_NATIONAL,Adults,190,34152047
2023-06-10,SARI_NATIONAL,Overall,742,45195777
2023-06-10,SARI_NATIONAL,Pediatrics,552,11043730
2023-06-17,SARI_NATIONAL,Adults,196,34152047
2023-06-17,SARI_NATIONAL,Overall,633,45195777
2023-06-17,SARI_NATIONAL,Pediatrics,437,11043730
2023-06-24,SARI_NATIONAL,Adults,264,34152047
2023-06-24,SARI_NATIONAL,Overall,703,45195777
2023-06-24,SARI_NATIONAL,Pediatrics,439,11043730
2023-07-01,SARI_NATIONAL,Adults,257,34152047
2023-07-01,SARI_NATIONAL,Overall,675,45195777
2023-07-01,SARI_NATIONAL,Pediatrics,418,11043730
2023-07-08,SARI_NATIONAL,Adults,229,34152047
2023-07-08,SARI_NATIONAL,Overall,582,45195777
2023-07-08,SARI_NATIONAL,Pediatrics,353,11043730
2023-07-15,SARI_NATIONAL,Adults,191,34152047
2023-07-15,SARI_NATIONAL,Overall,524,45195777
2023-07-15,SARI_NATIONAL,Pediatrics,333,11043730
2023-07-22,SARI_NATIONAL,Adults,188,34152047
2023-07-22,SARI_NATIONAL,Overall,451,45195777
2023-07-22,SARI_NATIONAL,Pediatrics,263,11043730
2023-07-29,SARI_NATIONAL,Adults,153,34152047
2023-07-29,SARI_NATIONAL,Overall,379,45195777
2023-07-29,SARI_NATIONAL,Pediatrics,226,11043730
2023-08-05,SARI_NATIONAL,Adults,176,34152047
2023-08-05,SARI_NATIONAL,Overall,391,45195777
2023-08-05,SARI_NATIONAL,Pediatrics,215,11043730
2023-08-12,SARI_NATIONAL,Adults,147,34152047
2023-08-12,SARI_NATIONAL,Overall,409,45195777
2023-08-12,SARI_NATIONAL,Pediatrics,262,11043730
2023-08-19,SARI_NATIONAL,Adults,164,34152047
2023-08-19,SARI_NATIONAL,Overall,404,45195777
2023-08-19,SARI_NATIONAL,Pediatrics,240,11043730
2023-08-26,SARI_NATIONAL,Adults,178,34152047
2023-08-26,SARI_NATIONAL,Overall,408,45195777
2023-08-26,SARI_NATIONAL,Pediatrics,230,11043730
2023-09-02,SARI_NATIONAL,Adults,191,34152047
2023-09-02,SARI_NATIONAL,Overall,443,45195777
2023-09-02,SARI_NATIONAL,Pediatrics,252,11043730
2023-09-09,SARI_NATIONAL,Adults,184,34152047
2023-09-09,SARI_NATIONAL,Overall,417,45195777
2023-09-09,SARI_NATIONAL,Pediatrics,233,11043730
2023-09-16,SARI_NATIONAL,Adults,175,34152047
2023-09-16,SARI_NATIONAL,Overall,434,45195777
2023-09-16,SARI_NATIONAL,Pediatrics,259,11043730
2023-09-23,SARI_NATIONAL,Adults,170,34152047
2023-09-23,SARI_NATIONAL,Overall,396,45195777
2023-09-23,SARI_NATIONAL,Pediatrics,226,11043730
2023-09-30,SARI_NATIONAL,Adults,109,34152047
2023-09-30,SARI_NATIONAL,Overall,290,45195777
2023-09-30,SARI_NATIONAL,Pediatrics,181,11043730
2023-10-07,SARI_NATIONAL,Adults,111,34152047
2023-10-07,SARI_NATIONAL,Overall,301,45195777
2023-10-07,SARI_NATIONAL,Pediatrics,190,11043730
2023-10-14,SARI_NATIONAL,Adults,114,34152047
2023-10-14,SARI_NATIONAL,Overall,305,45195777
2023-10-14,SARI_NATIONAL,Pediatrics,191,11043730
2023-10-21,SARI_NATIONAL,Adults,114,34152047
2023-10-21,SARI_NATIONAL,Overall,278,45195777
2023-10-21,SARI_NATIONAL,Pediatrics,164,11043730
2023-10-28,SARI_NATIONAL,Adults,75,34152047
2023-10-28,SARI_NATIONAL,Overall,191,45195777
2023-10-28,SARI_NATIONAL,Pediatrics,116,11043730
2023-11-04,SARI_NATIONAL,Adults,81,34152047
2023-11-04,SARI_NATIONAL,Overall,210,45195777
2023-11-04,SARI_NATIONAL,Pediatrics,129,11043730
2023-11-11,SARI_NATIONAL,Adults,85,34152047
2023-11-11,SARI_NATIONAL,Overall,201,45195777
2023-11-11,SARI_NATIONAL,Pediatrics,116,11043730
2023-11-18,SARI_NATIONAL,Adults,79,34152047
2023-11-18,SARI_NATIONAL,Overall,192,45195777
2023-11-18,SARI_NATIONAL,Pediatrics,113,11043730
2023-11-25,SARI_NATIONAL,Adults,74,34152047
2023-11-25,SARI_NATIONAL,Overall,168,45195777
2023-11-25,SARI_NATIONAL,Pediatrics,94,11043730
2023-12-02,SARI_NATIONAL,Adults,70,34152047
2023-12-02,SARI_NATIONAL,Overall,168,45195777
2023-12-02,SARI_NATIONAL,Pediatrics,98,11043730
2023-12-09,SARI_NATIONAL,Adults,64,34152047
2023-12-09,SARI_NATIONAL,Overall,130,45195777
2023-12-09,SARI_NATIONAL,Pediatrics,66,11043730
2023-12-16,SARI_NATIONAL,Adults,66,34152047
2023-12-16,SARI_NATIONAL,Overall,135,45195777
2023-12-16,SARI_NATIONAL,Pediatrics,69,11043730
2023-12-23,SARI_NATIONAL,Adults,56,34152047
2023-12-23,SARI_NATIONAL,Overall,102,45195777
2023-12-23,SARI_NATIONAL,Pediatrics,46,11043730
2023-12-30,SARI_NATIONAL,Adults,46,34152047
2023-12-30,SARI_NATIONAL,Overall,87,45195777
2023-12-30,SARI_NATIONAL,Pediatrics,41,11043730
2024-01-06,SARI_NATIONAL,Adults,95,34152047
2024-01-06,SARI_NATIONAL,Overall,160,45195777
2024-01-06,SARI_NATIONAL,Pediatrics,65,11043730
2024-01-13,SARI_NATIONAL,Adults,126,34152047
2024-01-13,SARI_NATIONAL,Overall,197,45195777
2024-01-13,SARI_NATIONAL,Pediatrics,71,11043730
2024-01-20,SARI_NATIONAL,Adults,165,34152047
2024-01-20,SARI_NATIONAL,Overall,247,45195777
2024-01-20,SARI_NATIONAL,Pediatrics,82,11043730
2024-01-27,SARI_NATIONAL,Adults,160,34152047
2024-01-27,SARI_NATIONAL,Overall,253,45195777
2024-01-27,SARI_NATIONAL,Pediatrics,93,11043730
2024-02-03,SARI_NATIONAL,Adults,165,34152047
2024-02-03,SARI_NATIONAL,Overall,252,45195777
2024-02-03,SARI_NATIONAL,Pediatrics,87,11043730
2024-02-10,SARI_NATIONAL,Adults,131,34152047
2024-02-10,SARI_NATIONAL,Overall,205,45195777
2024-02-10,SARI_NATIONAL,Pediatrics,74,11043730
2024-02-17,SARI_NATIONAL,Adults,114,34152047
2024-02-17,SARI_NATIONAL,Overall,176,45195777
2024-02-17,SARI_NATIONAL,Pediatrics,62,11043730
2024-02-24,SARI_NATIONAL,Adults,120,34152047
2024-02-24,SARI_NATIONAL,Overall,176,45195777
2024-02-24,SARI_NATIONAL,Pediatrics,56,11043730
2024-03-02,SARI_NATIONAL,Adults,92,34152047
2024-03-02,SARI_NATIONAL,Overall,155,45195777
2024-03-02,SARI_NATIONAL,Pediatrics,63,11043730
2024-03-09,SARI_NATIONAL,Adults,93,34152047
2024-03-09,SARI_NATIONAL,Overall,164,45195777
2024-03-09,SARI_NATIONAL,Pediatrics,71,11043730
2024-03-16,SARI_NATIONAL,Adults,94,34152047
2024-03-16,SARI_NATIONAL,Overall,213,45195777
2024-03-16,SARI_NATIONAL,Pediatrics,119,11043730
2024-03-23,SARI_NATIONAL,Adults,92,34152047
2024-03-23,SARI_NATIONAL,Overall,209,45195777
2024-03-23,SARI_NATIONAL,Pediatrics,117,11043730
2024-03-30,SARI_NATIONAL,Adults,96,34152047
2024-03-30,SARI_NATIONAL,Overall,207,45195777
2024-03-30,SARI_NATIONAL,Pediatrics,111,11043730
2024-04-06,SARI_NATIONAL,Adults,111,34152047
2024-04-06,SARI_NATIONAL,Overall,223,45195777
2024-04-06,SARI_NATIONAL,Pediatrics,112,11043730
2024-04-13,SARI_NATIONAL,Adults,95,34152047
2024-04-13,SARI_NATIONAL,Overall,198,45195777
2024-04-13,SARI_NATIONAL,Pediatrics,103,11043730
2024-04-20,SARI_NATIONAL,Adults,107,34152047
2024-04-20,SARI_NATIONAL,Overall,212,45195777
2024-04-20,SARI_NATIONAL,Pediatrics,105,11043730
2024-04-27,SARI_NATIONAL,Adults,97,34152047
2024-04-27,SARI_NATIONAL,Overall,241,45195777
2024-04-27,SARI_NATIONAL,Pediatrics,144,11043730
2024-05-04,SARI_NATIONAL,Adults,129,34152047
2024-05-04,SARI_NATIONAL,Overall,287,45195777
2024-05-04,SARI_NATIONAL,Pediatrics,158,11043730
2024-05-11,SARI_NATIONAL,Adults,151,34152047
2024-05-11,SARI_NATIONAL,Overall,338,45195777
2024-05-11,SARI_NATIONAL,Pediatrics,187,11043730
2024-05-18,SARI_NATIONAL,Adults,230,34152047
2024-05-18,SARI_NATIONAL,Overall,557,45195777
2024-05-18,SARI_NATIONAL,Pediatrics,327,11043730
2024-05-25,SARI_NATIONAL,Adults,333,34152047
2024-05-25,SARI_NATIONAL,Overall,746,45195777
2024-05-25,SARI_NATIONAL,Pediatrics,413,11043730
2024-06-01,SARI_NATIONAL,Adults,524,34152047
2024-06-01,SARI_NATIONAL,Overall,1053,45195777
2024-06-01,SARI_NATIONAL,Pediatrics,529,11043730
2024-06-08,SARI_NATIONAL,Adults,553,34152047
2024-06-08,SARI_NATIONAL,Overall,1270,45195777
2024-06-08,SARI_NATIONAL,Pediatrics,717,11043730
2024-06-15,SARI_NATIONAL,Adults,454,34152047
2024-06-15,SARI_NATIONAL,Overall,1031,45195777
2024-06-15,SARI_NATIONAL,Pediatrics,577,11043730
2024-06-22,SARI_NATIONAL,Adults,315,34152047
2024-06-22,SARI_NATIONAL,Overall,832,45195777
2024-06-22,SARI_NATIONAL,Pediatrics,517,11043730
2024-06-29,SARI_NATIONAL,Adults,277,34152047
2024-06-29,SARI_NATIONAL,Overall,825,45195777
2024-06-29,SARI_NATIONAL,Pediatrics,548,11043730
2024-07-06,SARI_NATIONAL,Adults,317,34152047
2024-07-06,SARI_NATIONAL,Overall,891,45195777
2024-07-06,SARI_NATIONAL,Pediatrics,574,11043730
2024-07-13,SARI_NATIONAL,Adults,251,34152047
2024-07-13,SARI_NATIONAL,Overall,830,45195777
2024-07-13,SARI_NATIONAL,Pediatrics,579,11043730
2024-07-20,SARI_NATIONAL,Adults,299,34152047
2024-07-20,SARI_NATIONAL,Overall,877,45195777
2024-07-20,SARI_NATIONAL,Pediatrics,578,11043730
2024-07-27,SARI_NATIONAL,Adults,229,34152047
2024-07-27,SARI_NATIONAL,Overall,707,45195777
2024-07-27,SARI_NATIONAL,Pediatrics,478,11043730
2024-08-03,SARI_NATIONAL,Adults,209,34152047
2024-08-03,SARI_NATIONAL,Overall,662,45195777
2024-08-03,SARI_NATIONAL,Pediatrics,453,11043730
2024-08-10,SARI_NATIONAL,Adults,184,34152047
2024-08-10,SARI_NATIONAL,Overall,668,45195777
2024-08-10,SARI_NATIONAL,Pediatrics,484,11043730
2024-08-17,SARI_NATIONAL,Adults,172,34152047
2024-08-17,SARI_NATIONAL,Overall,645,45195777
2024-08-17,SARI_NATIONAL,Pediatrics,473,11043730
2024-08-24,SARI_NATIONAL,Adults,175,34152047
2024-08-24,SARI_NATIONAL,Overall,642,45195777
2024-08-24,SARI_NATIONAL,Pediatrics,467,11043730
2024-08-31,SARI_NATIONAL,Adults,174,34152047
2024-08-31,SARI_NATIONAL,Overall,596,45195777
2024-08-31,SARI_NATIONAL,Pediatrics,422,11043730
2024-09-07,SARI_NATIONAL,Adults,210,34152047
2024-09-07,SARI_NATIONAL,Overall,718,45195777
2024-09-07,SARI_NATIONAL,Pediatrics,508,11043730
2024-09-14,SARI_NATIONAL,Adults,194,34152047
2024-09-14,SARI_NATIONAL,Overall,616,45195777
2024-09-14,SARI_NATIONAL,Pediatrics,422,11043730
2024-09-21,SARI_NATIONAL,Adults,178,34152047
2024-09-21,SARI_NATIONAL,Overall,598,45195777
2024-09-21,SARI_NATIONAL,Pediatrics,420,11043730
2024-09-28,SARI_NATIONAL,Adults,159,34152047
2024-09-28,SARI_NATIONAL,Overall,492,45195777
2024-09-28,SARI_NATIONAL,Pediatrics,333,11043730
2024-10-05,SARI_NATIONAL,Adults,199,34152047
2024-10-05,SARI_NATIONAL,Overall,511,45195777
2024-10-05,SARI_NATIONAL,Pediatrics,312,11043730
2024-10-12,SARI_NATIONAL,Adults,151,34152047
2024-10-12,SARI_NATIONAL,Overall,401,45195777
2024-10-12,SARI_NATIONAL,Pediatrics,250,11043730
2024-10-19,SARI_NATIONAL,Adults,165,34152047
2024-10-19,SARI_NATIONAL,Overall,424,45195777
2024-10-19,SARI_NATIONAL,Pediatrics,259,11043730
2024-10-26,SARI_NATIONAL,Adults,131,34152047
2024-10-26,SARI_NATIONAL,Overall,394,45195777
2024-10-26,SARI_NATIONAL,Pediatrics,263,11043730
2024-11-02,SARI_NATIONAL,Adults,116,34152047
2024-11-02,SARI_NATIONAL,Overall,353,45195777
2024-11-02,SARI_NATIONAL,Pediatrics,237,11043730
2024-11-09,SARI_NATIONAL,Adults,102,34152047
2024-11-09,SARI_NATIONAL,Overall,259,45195777
2024-11-09,SARI_NATIONAL,Pediatrics,157,11043730
2024-11-16,SARI_NATIONAL,Adults,112,34152047
2024-11-16,SARI_NATIONAL,Overall,284,45195777
2024-11-16,SARI_NATIONAL,Pediatrics,172,11043730
2024-11-23,SARI_NATIONAL,Adults,84,34152047
2024-11-23,SARI_NATIONAL,Overall,242,45195777
2024-11-23,SARI_NATIONAL,Pediatrics,158,11043730
2024-11-30,SARI_NATIONAL,Adults,73,34152047
2024-11-30,SARI_NATIONAL,Overall,221,45195777
2024-11-30,SARI_NATIONAL,Pediatrics,148,11043730
2024-12-07,SARI_NATIONAL,Adults,86,34152047
2024-12-07,SARI_NATIONAL,Overall,197,45195777
2024-12-07,SARI_NATIONAL,Pediatrics,111,11043730
2024-12-14,SARI_NATIONAL,Adults,90,34152047
2024-12-14,SARI_NATIONAL,Overall,202,45195777
2024-12-14,SARI_NATIONAL,Pediatrics,112,11043730
2024-12-21,SARI_NATIONAL,Adults,88,34152047
2024-12-21,SARI_NATIONAL,Overall,151,45195777
2024-12-21,SARI_NATIONAL,Pediatrics,63,11043730
2024-12-28,SARI_NATIONAL,Adults,60,34152047
2024-12-28,SARI_NATIONAL,Overall,113,45195777
2024-12-28,SARI_NATIONAL,Pediatrics,53,11043730
2025-01-04,SARI_NATIONAL,Adults,99,30612598
2025-01-04,SARI_NATIONAL,Overall,197,45195777
2025-01-04,SARI_NATIONAL,Pediatrics,98,14583179
2025-01-11,SARI_NATIONAL,Adults,97,30612598
2025-01-11,SARI_NATIONAL,Overall,175,45195777
2025-01-11,SARI_NATIONAL,Pediatrics,78,14583179
2025-01-18,SARI_NATIONAL,Adults,78,30612598
2025-01-18,SARI_NATIONAL,Overall,150,45195777
2025-01-18,SARI_NATIONAL,Pediatrics,72,14583179
2025-01-25,SARI_NATIONAL,Adults,81,30612598
2025-01-25,SARI_NATIONAL,Overall,163,45195777
2025-01-25,SARI_NATIONAL,Pediatrics,82,14583179
2025-02-01,SARI_NATIONAL,Adults,92,30612598
